Številka instance, Številka naloge, Status naloge, Ime koraka, Čas prejema, Čas začetka, Čas zaključka, Tip prejemnika, Prejemnik, Je nujno, Stranka ime, Stranka ulica, Stranka kraj, Stranka telefon, Stranka e-pošta, Znesek naročila, Znesek dostave, Znesek skupaj, Razdalja, Naročena pizza 1, Naročena pizza 2, Naročena pizza 3, Naročena pizza 4, Naročena pizza 5, Naročena pizza 6, Naročena pizza 7, Naročena pizza 8
5, 2, Zaključena, Počakaj, 12/01/2017 11:02:31, 12/01/2017 11:02:31, 12/01/2017 11:12:31, Sistem, , NE, Jošt Maček, VILHARJEVA CESTA 21, 1000 Ljubljana, 044 294 202, jost.macek@pizza.si, 17.80, 0.00, 17.80, , MARGERITA [pelati|sir|oliva], DOLENJSKA [pelati|sir|pečena slanina|artičoke|beluši], , , , , , 
6, 1, Zaključena, Naročilo, 12/01/2017 11:02:47, 12/01/2017 11:02:47, 12/01/2017 11:02:47, Uporabnik, Berta Potočnik, NE, Silvija Jovanović, CESTA V ROŽNO DOLINO 32, 1000 Ljubljana, 044 444 832, silvija.jovanovic@pizza.si, 69.60, 0.00, 69.60, , KRALJEVA [pelati|sir|morski sadeži|losos|kaviar], LAHKA [pelati|tuna|gorgonzola|paprika|pečena paprika], VEGI MEXICO [pelati|mozzarela|feferoni|rdeča salsa|nacho sir], SIROVA [pelati|mozzarela|gauda|gorgonzola|skuta], ARTIČOKINA [pelati|sir|šunka|artičoke|oliva], NACHO [pelati|sir|šunka|koruza|nacho sir|tržaška omaka], , 
6, 2, Zaključena, Počakaj, 12/01/2017 11:02:47, 12/01/2017 11:02:47, 12/01/2017 11:12:47, Sistem, , NE, Silvija Jovanović, CESTA V ROŽNO DOLINO 32, 1000 Ljubljana, 044 444 832, silvija.jovanovic@pizza.si, 69.60, 0.00, 69.60, , KRALJEVA [pelati|sir|morski sadeži|losos|kaviar], LAHKA [pelati|tuna|gorgonzola|paprika|pečena paprika], VEGI MEXICO [pelati|mozzarela|feferoni|rdeča salsa|nacho sir], SIROVA [pelati|mozzarela|gauda|gorgonzola|skuta], ARTIČOKINA [pelati|sir|šunka|artičoke|oliva], NACHO [pelati|sir|šunka|koruza|nacho sir|tržaška omaka], , 
1, 3, Zaključena, Pečenje, 12/01/2017 11:03:11, 12/01/2017 11:03:11, 12/01/2017 11:09:11, Uporabnik, Borut Erjavec, DA, Kristjan Sitar, ULICA BRATOV UČAKAR 96, 1000 Ljubljana, 044 481 189, kristjan.sitar@pizza.si, 67.70, 2.00, 69.70, 6.60, KULEN [pelati|sir|hrenovka|kulen pikant salama], PRIMORSKA [pelati|sir|gobe|pršut|oliva], GRUNTARSKA [pelati|sir|kulen salama|gobe|tržaška omaka], VEGI NACHO [pelati|sir|sveži paradižnik|pečena paprika|nacho sir|oliva], MORNAR [pelati|mozzarela|morski sadeži|dagnje], DOMAČA [pelati|sir|gobe|jajce|domača salama], , 
7, 1, Zaključena, Naročilo, 12/01/2017 11:03:20, 12/01/2017 11:03:20, 12/01/2017 11:03:20, Uporabnik, Janez Novak, DA, Bernardka Koren, LITOSTROJSKA CESTA 45, 1000 Ljubljana, 044 72 150, bernardka.koren@pizza.si, 58.20, 2.00, 60.20, 4.21, VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], VRAŽJA [pikantna omaka|sir|domača šunka|feferoni], PIZZA S HRENOVKO [pelati|sir|hrenovka|jajce], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], SICILJANA [pelati|mozzarela|paradižnik|bazilika], GORENJSKA PIZZA [pelati|sir|gobe|goveja salama], , 
7, 2, Zaključena, Priprava, 12/01/2017 11:03:20, 12/01/2017 11:03:20, 12/01/2017 11:06:06, Uporabnik, Štefan Dolenc, DA, Bernardka Koren, LITOSTROJSKA CESTA 45, 1000 Ljubljana, 044 72 150, bernardka.koren@pizza.si, 58.20, 2.00, 60.20, 4.21, VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], VRAŽJA [pikantna omaka|sir|domača šunka|feferoni], PIZZA S HRENOVKO [pelati|sir|hrenovka|jajce], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], SICILJANA [pelati|mozzarela|paradižnik|bazilika], GORENJSKA PIZZA [pelati|sir|gobe|goveja salama], , 
8, 1, Zaključena, Naročilo, 12/01/2017 11:04:51, 12/01/2017 11:04:51, 12/01/2017 11:04:51, Uporabnik, Janez Novak, NE, Veronika Košir, IPAVČEVA ULICA 1, 1000 Ljubljana, 044 562 406, veronika.kosir@pizza.si, 11.00, 0.00, 11.00, 6.19, DRAVSKA [pelati|mozzarela|gobe|paradižnik|paprika|slanina], , , , , , , 
8, 2, Zaključena, Počakaj, 12/01/2017 11:04:51, 12/01/2017 11:04:51, 12/01/2017 11:14:51, Sistem, , NE, Veronika Košir, IPAVČEVA ULICA 1, 1000 Ljubljana, 044 562 406, veronika.kosir@pizza.si, 11.00, 0.00, 11.00, 6.19, DRAVSKA [pelati|mozzarela|gobe|paradižnik|paprika|slanina], , , , , , , 
9, 1, Zaključena, Naročilo, 12/01/2017 11:05:59, 12/01/2017 11:05:59, 12/01/2017 11:05:59, Uporabnik, Janez Novak, DA, Ivan Logar, SLOMŠKOVA ULICA 4, 1000 Ljubljana, 044 508 140, ivan.logar@pizza.si, 34.00, 2.00, 36.00, , TOMAČEVO [pelati|sir|domača šunka|jurčki|hrenova omaka], VEGI NACHO [pelati|sir|sveži paradižnik|pečena paprika|nacho sir|oliva], OGLARSKA [pelati|sir|jurčki|pečena slanina|hrenova omaka], , , , , 
9, 2, Zaključena, Priprava, 12/01/2017 11:05:59, 12/01/2017 11:05:59, 12/01/2017 11:07:29, Uporabnik, Peter Mlakar, DA, Ivan Logar, SLOMŠKOVA ULICA 4, 1000 Ljubljana, 044 508 140, ivan.logar@pizza.si, 34.00, 2.00, 36.00, , TOMAČEVO [pelati|sir|domača šunka|jurčki|hrenova omaka], VEGI NACHO [pelati|sir|sveži paradižnik|pečena paprika|nacho sir|oliva], OGLARSKA [pelati|sir|jurčki|pečena slanina|hrenova omaka], , , , , 
7, 3, Zaključena, Pečenje, 12/01/2017 11:06:06, 12/01/2017 11:06:06, 12/01/2017 11:12:06, Uporabnik, Jan Solina, DA, Bernardka Koren, LITOSTROJSKA CESTA 45, 1000 Ljubljana, 044 72 150, bernardka.koren@pizza.si, 58.20, 2.00, 60.20, 4.21, VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], VRAŽJA [pikantna omaka|sir|domača šunka|feferoni], PIZZA S HRENOVKO [pelati|sir|hrenovka|jajce], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], SICILJANA [pelati|mozzarela|paradižnik|bazilika], GORENJSKA PIZZA [pelati|sir|gobe|goveja salama], , 
10, 1, Zaključena, Naročilo, 12/01/2017 11:07:18, 12/01/2017 11:07:18, 12/01/2017 11:07:18, Uporabnik, Berta Potočnik, NE, Vladimir Golob, HUBADOVA ULICA 8, 1000 Ljubljana, 044 590 539, vladimir.golob@pizza.si, 11.00, 0.00, 11.00, 0.48, GOBJA [pelati|mozzarela|šampinjoni|jurčki], , , , , , , 
10, 2, Zaključena, Počakaj, 12/01/2017 11:07:18, 12/01/2017 11:07:18, 12/01/2017 11:17:18, Sistem, , NE, Vladimir Golob, HUBADOVA ULICA 8, 1000 Ljubljana, 044 590 539, vladimir.golob@pizza.si, 11.00, 0.00, 11.00, 0.48, GOBJA [pelati|mozzarela|šampinjoni|jurčki], , , , , , , 
11, 1, Zaključena, Naročilo, 12/01/2017 11:07:23, 12/01/2017 11:07:23, 12/01/2017 11:07:23, Uporabnik, Janez Novak, DA, Sonja Jereb, ŠMARTNO 32, 1000 Ljubljana, 044 255 012, sonja.jereb@pizza.si, 66.50, 2.00, 68.50, 7.19, KMEČKA [pelati|sir|klobasa|čebula|ajvar|suha salama], GRAJSKA PIZZA [pelati|sir|gobe|slanina|trdo kuhano jajce], KRANJSKA PIZZA [pelati|sir|slanina|domača klobasa|gobe|koruza], MOZZARELINA [pelati|mozzarela|domača šunka|gobe|oliva], MEXICO [mozzarela|pelati|feferoni|rdeča salsa|gobe|pečena kulen salama], VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], , 
11, 2, Zaključena, Priprava, 12/01/2017 11:07:23, 12/01/2017 11:07:23, 12/01/2017 11:10:14, Uporabnik, Katarina Jenko, DA, Sonja Jereb, ŠMARTNO 32, 1000 Ljubljana, 044 255 012, sonja.jereb@pizza.si, 66.50, 2.00, 68.50, 7.19, KMEČKA [pelati|sir|klobasa|čebula|ajvar|suha salama], GRAJSKA PIZZA [pelati|sir|gobe|slanina|trdo kuhano jajce], KRANJSKA PIZZA [pelati|sir|slanina|domača klobasa|gobe|koruza], MOZZARELINA [pelati|mozzarela|domača šunka|gobe|oliva], MEXICO [mozzarela|pelati|feferoni|rdeča salsa|gobe|pečena kulen salama], VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], , 
9, 3, Zaključena, Pečenje, 12/01/2017 11:07:29, 12/01/2017 11:07:29, 12/01/2017 11:13:29, Uporabnik, Jernej Miklavčič, DA, Ivan Logar, SLOMŠKOVA ULICA 4, 1000 Ljubljana, 044 508 140, ivan.logar@pizza.si, 34.00, 2.00, 36.00, , TOMAČEVO [pelati|sir|domača šunka|jurčki|hrenova omaka], VEGI NACHO [pelati|sir|sveži paradižnik|pečena paprika|nacho sir|oliva], OGLARSKA [pelati|sir|jurčki|pečena slanina|hrenova omaka], , , , , 
2, 4, Zaključena, Dodajanje sestavin, 12/01/2017 11:08:03, 12/01/2017 11:08:03, 12/01/2017 11:08:33, Uporabnik, Matjaž Jerman, DA, Joško Žagar, V MURGLAH 249, 1000 Ljubljana, 044 688 873, josko.zagar@pizza.si, 20.80, 2.00, 22.80, , RAGU PIZZA [pelati|sir|ragu omaka|čebula|parmezan], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], , , , , , 
12, 1, Zaključena, Naročilo, 12/01/2017 11:08:07, 12/01/2017 11:08:07, 12/01/2017 11:08:07, Uporabnik, Berta Potočnik, NE, Jerneja Pečnik, LITIJSKA CESTA 68A, 1000 Ljubljana, 044 525 706, jerneja.pecnik@pizza.si, 12.10, 0.00, 12.10, 6.46, KRANJSKA PIZZA [pelati|sir|slanina|domača klobasa|gobe|koruza], , , , , , , 
12, 2, Zaključena, Počakaj, 12/01/2017 11:08:07, 12/01/2017 11:08:07, 12/01/2017 11:18:07, Sistem, , NE, Jerneja Pečnik, LITIJSKA CESTA 68A, 1000 Ljubljana, 044 525 706, jerneja.pecnik@pizza.si, 12.10, 0.00, 12.10, 6.46, KRANJSKA PIZZA [pelati|sir|slanina|domača klobasa|gobe|koruza], , , , , , , 
2, 5, Zaključena, Pakiranje, 12/01/2017 11:08:33, 12/01/2017 11:08:33, 12/01/2017 11:09:51, Uporabnik, Simona Vodopivec, DA, Joško Žagar, V MURGLAH 249, 1000 Ljubljana, 044 688 873, josko.zagar@pizza.si, 20.80, 2.00, 22.80, , RAGU PIZZA [pelati|sir|ragu omaka|čebula|parmezan], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], , , , , , 
13, 1, Zaključena, Naročilo, 12/01/2017 11:09:08, 12/01/2017 11:09:08, 12/01/2017 11:09:08, Uporabnik, Janez Novak, DA, Leon Nemec, ŠMARTINSKA CESTA 22, 1000 Ljubljana, 044 654 857, leon.nemec@pizza.si, 51.30, 2.00, 53.30, 5.26, DOLENJSKA [pelati|sir|pečena slanina|artičoke|beluši], JABOLČNA [marmelada|jabolko|cimet|rozine|sladka smetana|čokoladni preliv], PEKOČA [pelati|mozzarela|pečena kulen salama|feferoni], PIZZA S HRENOVKO [pelati|sir|hrenovka|jajce], DOLENJSKA [pelati|sir|pečena slanina|artičoke|beluši], , , 
13, 2, Zaključena, Priprava, 12/01/2017 11:09:08, 12/01/2017 11:10:14, 12/01/2017 11:12:34, Uporabnik, Katarina Jenko, DA, Leon Nemec, ŠMARTINSKA CESTA 22, 1000 Ljubljana, 044 654 857, leon.nemec@pizza.si, 51.30, 2.00, 53.30, 5.26, DOLENJSKA [pelati|sir|pečena slanina|artičoke|beluši], JABOLČNA [marmelada|jabolko|cimet|rozine|sladka smetana|čokoladni preliv], PEKOČA [pelati|mozzarela|pečena kulen salama|feferoni], PIZZA S HRENOVKO [pelati|sir|hrenovka|jajce], DOLENJSKA [pelati|sir|pečena slanina|artičoke|beluši], , , 
1, 4, Zaključena, Dodajanje sestavin, 12/01/2017 11:09:11, 12/01/2017 11:09:11, 12/01/2017 11:09:56, Uporabnik, Primož Blažič, DA, Kristjan Sitar, ULICA BRATOV UČAKAR 96, 1000 Ljubljana, 044 481 189, kristjan.sitar@pizza.si, 67.70, 2.00, 69.70, 6.60, KULEN [pelati|sir|hrenovka|kulen pikant salama], PRIMORSKA [pelati|sir|gobe|pršut|oliva], GRUNTARSKA [pelati|sir|kulen salama|gobe|tržaška omaka], VEGI NACHO [pelati|sir|sveži paradižnik|pečena paprika|nacho sir|oliva], MORNAR [pelati|mozzarela|morski sadeži|dagnje], DOMAČA [pelati|sir|gobe|jajce|domača salama], , 
14, 1, Zaključena, Naročilo, 12/01/2017 11:09:45, 12/01/2017 11:09:45, 12/01/2017 11:09:45, Uporabnik, Berta Potočnik, NE, Marjeta Gorjup, PERIČEVA ULICA 22, 1000 Ljubljana, 044 641 026, marjeta.gorjup@pizza.si, 61.20, 0.00, 61.20, 1.75, VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], MOZZARELINA [pelati|mozzarela|domača šunka|gobe|oliva], TIROLSKA [pelati|sir|pečena slanina|goveja salama|hrenova omaka], TRAVISO [pelati|sir|gobe|paradižnik|radič|parmezan], JABOLČNA [marmelada|jabolko|cimet|rozine|sladka smetana|čokoladni preliv], ITALIJANSKA [pelati|sir|ragu omaka|sveži paradižnik|sveža paprika], , 
14, 2, Zaključena, Počakaj, 12/01/2017 11:09:45, 12/01/2017 11:09:45, 12/01/2017 11:19:45, Sistem, , NE, Marjeta Gorjup, PERIČEVA ULICA 22, 1000 Ljubljana, 044 641 026, marjeta.gorjup@pizza.si, 61.20, 0.00, 61.20, 1.75, VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], MOZZARELINA [pelati|mozzarela|domača šunka|gobe|oliva], TIROLSKA [pelati|sir|pečena slanina|goveja salama|hrenova omaka], TRAVISO [pelati|sir|gobe|paradižnik|radič|parmezan], JABOLČNA [marmelada|jabolko|cimet|rozine|sladka smetana|čokoladni preliv], ITALIJANSKA [pelati|sir|ragu omaka|sveži paradižnik|sveža paprika], , 
2, 6, Zaključena, Osebni prevzem, 12/01/2017 11:09:51, 12/01/2017 11:09:51, 12/01/2017 11:09:51, Sistem, , DA, Joško Žagar, V MURGLAH 249, 1000 Ljubljana, 044 688 873, josko.zagar@pizza.si, 20.80, 2.00, 22.80, , RAGU PIZZA [pelati|sir|ragu omaka|čebula|parmezan], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], , , , , , 
2, 7, Zaključena, Zaključek, 12/01/2017 11:09:51, 12/01/2017 11:09:51, 12/01/2017 11:09:51, Sistem, , DA, Joško Žagar, V MURGLAH 249, 1000 Ljubljana, 044 688 873, josko.zagar@pizza.si, 20.80, 2.00, 22.80, , RAGU PIZZA [pelati|sir|ragu omaka|čebula|parmezan], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], , , , , , 
15, 1, Zaključena, Naročilo, 12/01/2017 11:09:56, 12/01/2017 11:09:56, 12/01/2017 11:09:56, Uporabnik, Berta Potočnik, DA, Petra Šinkovec, CESTA V HRIB 20, 1000 Ljubljana, 044 203 906, petra.sinkovec@pizza.si, 21.10, 2.00, 23.10, 5.05, VEGI NACHO [pelati|sir|sveži paradižnik|pečena paprika|nacho sir|oliva], PIKANTNA [pelati|tabasco|sir|šunka|feferoni|tržaška omaka|gobe], , , , , , 
1, 5, Zaključena, Pakiranje, 12/01/2017 11:09:56, 12/01/2017 11:09:56, 12/01/2017 11:13:57, Uporabnik, Štefan Dolenc, DA, Kristjan Sitar, ULICA BRATOV UČAKAR 96, 1000 Ljubljana, 044 481 189, kristjan.sitar@pizza.si, 67.70, 2.00, 69.70, 6.60, KULEN [pelati|sir|hrenovka|kulen pikant salama], PRIMORSKA [pelati|sir|gobe|pršut|oliva], GRUNTARSKA [pelati|sir|kulen salama|gobe|tržaška omaka], VEGI NACHO [pelati|sir|sveži paradižnik|pečena paprika|nacho sir|oliva], MORNAR [pelati|mozzarela|morski sadeži|dagnje], DOMAČA [pelati|sir|gobe|jajce|domača salama], , 
15, 2, Zaključena, Priprava, 12/01/2017 11:09:56, 12/01/2017 11:09:56, 12/01/2017 11:10:48, Uporabnik, Štefan Dolenc, DA, Petra Šinkovec, CESTA V HRIB 20, 1000 Ljubljana, 044 203 906, petra.sinkovec@pizza.si, 21.10, 2.00, 23.10, 5.05, VEGI NACHO [pelati|sir|sveži paradižnik|pečena paprika|nacho sir|oliva], PIKANTNA [pelati|tabasco|sir|šunka|feferoni|tržaška omaka|gobe], , , , , , 
11, 3, Zaključena, Pečenje, 12/01/2017 11:10:14, 12/01/2017 11:10:29, 12/01/2017 11:16:29, Uporabnik, Jernej Miklavčič, DA, Sonja Jereb, ŠMARTNO 32, 1000 Ljubljana, 044 255 012, sonja.jereb@pizza.si, 66.50, 2.00, 68.50, 7.19, KMEČKA [pelati|sir|klobasa|čebula|ajvar|suha salama], GRAJSKA PIZZA [pelati|sir|gobe|slanina|trdo kuhano jajce], KRANJSKA PIZZA [pelati|sir|slanina|domača klobasa|gobe|koruza], MOZZARELINA [pelati|mozzarela|domača šunka|gobe|oliva], MEXICO [mozzarela|pelati|feferoni|rdeča salsa|gobe|pečena kulen salama], VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], , 
16, 1, Zaključena, Naročilo, 12/01/2017 11:10:18, 12/01/2017 11:10:18, 12/01/2017 11:10:18, Uporabnik, Janez Novak, NE, Slavko Kramberger, POT K RIBNIKU 3, 1000 Ljubljana, 044 637 593, slavko.kramberger@pizza.si, 11.60, 0.00, 11.60, 11.08, PRIMORSKA [pelati|sir|gobe|pršut|oliva], , , , , , , 
16, 2, Zaključena, Počakaj, 12/01/2017 11:10:18, 12/01/2017 11:10:18, 12/01/2017 11:20:18, Sistem, , NE, Slavko Kramberger, POT K RIBNIKU 3, 1000 Ljubljana, 044 637 593, slavko.kramberger@pizza.si, 11.60, 0.00, 11.60, 11.08, PRIMORSKA [pelati|sir|gobe|pršut|oliva], , , , , , , 
15, 3, Zaključena, Pečenje, 12/01/2017 11:10:48, 12/01/2017 11:13:29, 12/01/2017 11:19:29, Uporabnik, Jernej Miklavčič, DA, Petra Šinkovec, CESTA V HRIB 20, 1000 Ljubljana, 044 203 906, petra.sinkovec@pizza.si, 21.10, 2.00, 23.10, 5.05, VEGI NACHO [pelati|sir|sveži paradižnik|pečena paprika|nacho sir|oliva], PIKANTNA [pelati|tabasco|sir|šunka|feferoni|tržaška omaka|gobe], , , , , , 
3, 3, Zaključena, Priprava, 12/01/2017 11:11:04, 12/01/2017 11:11:04, 12/01/2017 11:12:03, Uporabnik, Štefan Dolenc, NE, Vincenc Gorenc, ULICA BRATOV UČAKAR 16, 1000 Ljubljana, 044 278 169, vincenc.gorenc@pizza.si, 19.10, 0.00, 19.10, , PEKOČA [pelati|mozzarela|pečena kulen salama|feferoni], PIZZA S HRENOVKO [pelati|sir|hrenovka|jajce], , , , , , 
4, 3, Zaključena, Priprava, 12/01/2017 11:11:25, 12/01/2017 11:11:25, 12/01/2017 11:12:21, Uporabnik, Klemen Rudolf, NE, Štefanija Žižek, PETERNELOVA ULICA 2, 1000 Ljubljana, 044 410 703, stefanija.zizek@pizza.si, 21.00, 0.00, 21.00, 7.25, KMEČKA [pelati|sir|klobasa|čebula|ajvar|suha salama], KMEČKA [pelati|sir|klobasa|čebula|ajvar|suha salama], , , , , , 
3, 4, Zaključena, Pečenje, 12/01/2017 11:12:03, 12/01/2017 11:12:03, 12/01/2017 11:18:03, Uporabnik, Matej Straha, NE, Vincenc Gorenc, ULICA BRATOV UČAKAR 16, 1000 Ljubljana, 044 278 169, vincenc.gorenc@pizza.si, 19.10, 0.00, 19.10, , PEKOČA [pelati|mozzarela|pečena kulen salama|feferoni], PIZZA S HRENOVKO [pelati|sir|hrenovka|jajce], , , , , , 
7, 4, Zaključena, Dodajanje sestavin, 12/01/2017 11:12:06, 12/01/2017 11:12:06, 12/01/2017 11:12:51, Uporabnik, Primož Blažič, DA, Bernardka Koren, LITOSTROJSKA CESTA 45, 1000 Ljubljana, 044 72 150, bernardka.koren@pizza.si, 58.20, 2.00, 60.20, 4.21, VEGILAHKA [pelati|paradižnik|paprika|koruza|gobe], VRAŽJA [pikantna omaka|sir|domača šunka|feferoni], PIZZA S HRENOVKO [pelati|sir|hrenovka|jajce], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], SICILJANA [pelati|mozzarela|paradižnik|bazilika], GORENJSKA PIZZA [pelati|sir|gobe|goveja salama], , 
17, 1, Zaključena, Naročilo, 12/01/2017 11:12:17, 12/01/2017 11:12:17, 12/01/2017 11:12:17, Uporabnik, Janez Novak, DA, Bernard Jug, TRINKOVA ULICA 6, 1000 Ljubljana, 044 85 303, bernard.jug@pizza.si, 24.30, 2.00, 26.30, 10.23, GRUNTARSKA [pelati|sir|kulen salama|gobe|tržaška omaka], SARDINIJA [pelati|pršut|mozzarela|skuta|bazilika], , , , , , 
17, 2, Zaključena, Priprava, 12/01/2017 11:12:17, 12/01/2017 11:12:17, 12/01/2017 11:13:16, Uporabnik, Štefan Dolenc, DA, Bernard Jug, TRINKOVA ULICA 6, 1000 Ljubljana, 044 85 303, bernard.jug@pizza.si, 24.30, 2.00, 26.30, 10.23, GRUNTARSKA [pelati|sir|kulen salama|gobe|tržaška omaka], SARDINIJA [pelati|pršut|mozzarela|skuta|bazilika], , , , , , 
